제품명(한글),수입일자,제조국,수출국,가격
냉동단호박,2/5/2021,중국,중국,57
냉동표고버섯,2/5/2021,중국,중국,13
냉동연근,2/5/2021,중국,중국,36
냉동 양파,2/5/2021,중국,중국,42
라지 월넛,2/5/2021,미국,미국,31
대추야자,2/5/2021,아랍에미리트,아랍에미리트,39
캐슈넛,2/5/2021,베트남,베트남,23
냉동 마늘,2/5/2021,중국,중국,23
망고,2/5/2021,베트남,베트남,20
대두,2/5/2021,캐나다,캐나다,14
신선양파,2/5/2021,중국,중국,25
대두,2/5/2021,미국,미국,48
해바라기씨,2/5/2021,불가리아,불가리아,18
바나나,2/5/2021,필리핀,필리핀,97
신선더덕,2/5/2021,중국,중국,91
냉동홍고추,2/5/2021,중국,중국,91
커피원두,2/5/2021,탄자니아,탄자니아,70
커피원두(생두)  60KG,2/5/2021,에티오피아,일본,24
커피원두(생두),2/5/2021,브라질,일본,47
커피원두(생두),2/5/2021,콜롬비아,일본,39
두리안,2/5/2021,태국,태국,79
깐도라지,2/5/2021,중국,중국,85
깐도라지,2/5/2021,중국,중국,98
깐도라지,2/5/2021,중국,중국,27
깐도라지,2/5/2021,중국,중국,10
깐도라지,2/5/2021,중국,중국,17
표고버섯,2/5/2021,중국,중국,12
건생강,2/5/2021,중국,중국,34
활개구리,2/5/2021,중국,중국,88
레몬그라스,2/5/2021,베트남,베트남,83
도토리,2/5/2021,중국,중국,43
표고버섯,2/5/2021,중국,중국,27
신선양파,2/5/2021,중국,중국,90
깐도라지 (1kg),2/5/2021,중국,중국,62
신선 양상추,2/5/2021,대만,대만,95
양상추,2/5/2021,대만,대만,81
대두,2/5/2021,러시아,러시아,4
배암차즈기(곰보배추),2/5/2021,중국,중국,90
커클랜드 시그니춰 블루베리,2/5/2021,칠레,칠레,55
냉동부추,2/5/2021,중국,중국,59
냉동부추,2/5/2021,중국,중국,25
체리(4.5KG),2/4/2021,칠레,칠레,89
신선더덕,2/4/2021,중국,중국,22
블루베리,2/4/2021,칠레,칠레,51
천궁(30KG),2/4/2021,중국,중국,2
계피,2/4/2021,베트남,베트남,39
커피원두,2/4/2021,콜롬비아,콜롬비아,77
포도,2/4/2021,칠레,칠레,67
라임,2/4/2021,멕시코,멕시코,88
"바나나(13KG,2021.01.11)",2/4/2021,필리핀,필리핀,95
"바나나(13KG,2021.01.18)",2/4/2021,필리핀,필리핀,84
"파인애플(12KG,2021.01.20)",2/4/2021,필리핀,필리핀,82
오가피열매,2/4/2021,중국,중국,89
커피원두(콜롬비아 슈프리모),2/4/2021,콜롬비아,콜롬비아,21
신선대파,2/4/2021,중국,중국,16
신선양파,2/4/2021,중국,중국,87
건조양파,2/4/2021,중국,중국,65
수수,2/4/2021,미국,미국,14
바나나,2/4/2021,콜롬비아,콜롬비아,48
포도,2/4/2021,페루,페루,96
포도,2/4/2021,페루,페루,99
맥아,2/4/2021,호주,호주,28
바나나,2/4/2021,필리핀,필리핀,57
바닐라빈,2/4/2021,미국,미국,17
커피생두,2/4/2021,미국,미국,2
건고추,2/4/2021,중국,중국,12
건대추,2/4/2021,중국,중국,33
건대추,2/4/2021,중국,중국,97
신선더덕,2/4/2021,중국,중국,62
건대추,2/4/2021,중국,중국,66
깐더덕,2/4/2021,중국,중국,99
건대추,2/4/2021,중국,중국,68
건대추,2/4/2021,중국,중국,80
커피생두,2/4/2021,브라질,브라질,84
포도,2/4/2021,페루,페루,13
바나나,2/4/2021,에콰도르,에콰도르,25
바나나,2/4/2021,에콰도르,에콰도르,64
황기,2/4/2021,중국,중국,51
신선양파,2/4/2021,중국,중국,63
바나나,2/4/2021,에콰도르,에콰도르,22
바나나,2/4/2021,에콰도르,에콰도르,88
냉동피망,2/4/2021,중국,중국,72
건아보카도(40g),2/4/2021,멕시코,멕시코,33
옥수수(씨앗),2/4/2021,인도,인도,43
옥수수(씨앗),2/4/2021,인도,인도,71
바나나,2/4/2021,에콰도르,에콰도르,23
바나나,2/4/2021,에콰도르,에콰도르,72
아보카도,2/4/2021,멕시코,멕시코,51
아보카도,2/4/2021,멕시코,멕시코,47
포도,2/4/2021,페루,페루,44
바나나,2/4/2021,필리핀,필리핀,33
신선우엉,2/4/2021,중국,중국,71
바나나,2/4/2021,필리핀,필리핀,32
바나나,2/4/2021,필리핀,필리핀,18
바나나,2/4/2021,필리핀,필리핀,91
바나나,2/4/2021,필리핀,필리핀,37
신선양파,2/4/2021,중국,중국,43
바나나,2/4/2021,필리핀,필리핀,88
바나나,2/4/2021,필리핀,필리핀,90
바나나,2/4/2021,필리핀,필리핀,20
망고,2/4/2021,태국,태국,18
망고,2/4/2021,태국,태국,40
"망고(열매,신선)",2/4/2021,태국,태국,97
망고,2/4/2021,태국,태국,29
망고,2/4/2021,태국,태국,95
망고,2/4/2021,태국,태국,11
신선양파,2/4/2021,중국,중국,95
아보카도,2/4/2021,멕시코,멕시코,86
망고,2/4/2021,페루,페루,94
포도,2/4/2021,칠레,칠레,34
망고,2/4/2021,태국,태국,76
무말랭이,2/4/2021,중국,중국,76
무말랭이,2/4/2021,중국,중국,2
포도,2/4/2021,페루,페루,20
신선양파,2/4/2021,중국,중국,75
아보카도,2/4/2021,멕시코,멕시코,82
아보카도,2/4/2021,멕시코,멕시코,54
포도,2/4/2021,칠레,칠레,40
망고,2/4/2021,베트남,베트남,88
밤,2/4/2021,중국,중국,15
깐양파,2/4/2021,중국,중국,10
"바나나(13KG,2021.01.11)",2/4/2021,필리핀,필리핀,51
옥수수,2/4/2021,브라질,브라질,85
옥수수,2/4/2021,브라질,브라질,35
"바나나(13KG,2021.01.11)",2/4/2021,필리핀,필리핀,45
"바나나(13KG,2021.01.18)",2/4/2021,필리핀,필리핀,25
"바나나(13KG,2021.01.18)",2/4/2021,필리핀,필리핀,97
신선양파,2/4/2021,중국,중국,31
신선우엉,2/4/2021,중국,중국,83
우엉,2/4/2021,중국,중국,41
"포도(열매,신선)",2/4/2021,페루,페루,50
리마콩,2/4/2021,미얀마,미얀마,66
레몬그라스,2/4/2021,베트남,베트남,61
베트남 로부스타 커피,2/4/2021,베트남,베트남,77
자몽,2/4/2021,미국,미국,85
망고,2/4/2021,태국,태국,91
망고,2/4/2021,태국,태국,29
페루커피원두,2/4/2021,페루,페루,7
아스파라거스,2/4/2021,멕시코,미국,12
샬롯,2/4/2021,태국,태국,40
갈랑갈,2/4/2021,태국,태국,21
송로버섯,2/4/2021,이탈리아,이탈리아,19
포도,2/4/2021,칠레,칠레,82
포도,2/4/2021,페루,페루,66
포도,2/4/2021,페루,페루,4
포도,2/4/2021,페루,페루,58
포도,2/4/2021,페루,페루,52
바나나,2/4/2021,콜롬비아,콜롬비아,68
체리,2/4/2021,칠레,칠레,25
깐도라지,2/4/2021,중국,중국,37
표고버섯,2/4/2021,중국,중국,8
무말랭이,2/4/2021,중국,중국,53
신선생강,2/4/2021,중국,중국,95
신선당근,2/4/2021,중국,중국,53
신선양파,2/4/2021,중국,중국,2
건대추,2/4/2021,중국,중국,24
신선양파,2/4/2021,중국,중국,82
서리태,2/4/2021,중국,중국,58
커피 생두,2/4/2021,파나마,파나마,15
냉동고추,2/4/2021,중국,중국,79
"파인애플(12KG,2021.01.20)",2/4/2021,필리핀,필리핀,48
"파인애플(12KG,2021.01.20)",2/4/2021,필리핀,필리핀,57
"바나나(13KG,2021.01.18)",2/4/2021,필리핀,필리핀,72
"용과(RED, 3KG)",2/4/2021,베트남,베트남,92
"용과(WHITE, 5KG)",2/4/2021,베트남,베트남,11
건 목이버섯,2/4/2021,중국,중국,76
밤,2/4/2021,중국,중국,76
커피 생두,2/4/2021,브라질,브라질,69
고추씨,2/4/2021,중국,중국,98
망고,2/4/2021,태국,태국,22
망고,2/4/2021,태국,태국,47
망고,2/4/2021,태국,태국,66
망고,2/4/2021,태국,태국,65
망고,2/4/2021,태국,태국,69
오렌지,2/4/2021,미국,미국,26
건동충하초밀리타리스,2/4/2021,중국,중국,19
신선당근,2/4/2021,중국,중국,81
냉동다이스양파,2/4/2021,중국,중국,34
"파인애플(12KG,2021.01.20)",2/4/2021,필리핀,필리핀,87
블루베리(312g),2/4/2021,칠레,칠레,50
포도,2/4/2021,페루,페루,4
포도,2/4/2021,페루,페루,9
포도,2/4/2021,페루,페루,30
포도,2/4/2021,페루,페루,9
하이비 아스파라거스 (5KG),2/4/2021,태국,태국,44
바나나 꽃,2/4/2021,태국,태국,5
아스파라거스,2/4/2021,멕시코,미국,29
핑거루트,2/4/2021,태국,태국,75
샬롯,2/4/2021,태국,태국,97
갈랑갈,2/4/2021,태국,태국,65
아스파라거스,2/4/2021,태국,태국,70
"두리안(열매,신선)",2/4/2021,태국,태국,67
아스파라거스,2/4/2021,태국,태국,96
두리안,2/4/2021,태국,태국,86
쪽파,2/4/2021,태국,태국,93
건송로버섯,2/4/2021,중국,중국,77
신선송로버섯,2/4/2021,중국,중국,3
두리안,2/4/2021,태국,태국,82
신선양파,2/4/2021,중국,중국,59
신선양파,2/4/2021,중국,중국,33
냉동홍고추,2/4/2021,중국,중국,44
냉동홍고추,2/4/2021,중국,중국,35
커피원두,2/4/2021,콜롬비아,콜롬비아,77
커피원두,2/4/2021,케냐,케냐,78
커피원두,2/4/2021,케냐,케냐,54
커피 생두,2/4/2021,브라질,브라질,28
커피 생두,2/4/2021,브라질,브라질,15
반건조무화과,2/4/2021,터키,터키,30
체리,2/4/2021,칠레,칠레,96
체리,2/4/2021,칠레,칠레,40
아보카도,2/4/2021,멕시코,멕시코,42
바나나,2/4/2021,베트남,베트남,35
바나나,2/4/2021,콜롬비아,콜롬비아,72
알땅콩(25kg),2/4/2021,중국,중국,8
신선 표고버섯,2/4/2021,중국,중국,43
깐도라지,2/4/2021,중국,중국,43
녹두,2/4/2021,미얀마,미얀마,91
신선표고버섯,2/4/2021,중국,중국,53
파인애플 (12KG),2/4/2021,필리핀,필리핀,10
육두구/36KG,2/4/2021,인도네시아,인도네시아,83
냉동홍고추,2/4/2021,중국,중국,17
냉동홍고추,2/4/2021,중국,중국,75
냉동홍고추,2/4/2021,중국,중국,91
냉동고추,2/4/2021,중국,중국,31
유기농바나나,2/4/2021,페루,페루,58
유기농바나나,2/4/2021,페루,페루,24
아보카도,2/4/2021,멕시코,멕시코,50
신선도라지,2/4/2021,중국,중국,65
건조 무,2/4/2021,중국,중국,50
신선우엉,2/4/2021,중국,중국,64
신선우엉,2/4/2021,중국,중국,60
망고,2/4/2021,페루,페루,58
콩나물콩,2/4/2021,중국,중국,33
오렌지,2/4/2021,스페인,스페인,92
강낭콩,2/4/2021,미국,캐나다,50
월계수잎,2/4/2021,터키,터키,53
콩나물콩,2/4/2021,미국,미국,51
커피 생두,2/4/2021,베트남,베트남,18
바나나,2/4/2021,에콰도르,에콰도르,27
망고,2/4/2021,태국,태국,33
망고,2/4/2021,태국,태국,59
포도,2/4/2021,칠레,칠레,8
신선송로버섯,2/4/2021,프랑스,프랑스,10
블루베리,2/4/2021,칠레,칠레,19
냉동홍고추,2/4/2021,중국,중국,80
옥수수,2/4/2021,미국,미국,89
양파,2/4/2021,일본,일본,94
블루베리 125G,2/4/2021,칠레,칠레,48
호라산밀,2/4/2021,터키,터키,35
냉동홍고추,2/4/2021,중국,중국,35
참깨,2/4/2021,중국,중국,60
양파,2/4/2021,일본,일본,51
양파,2/4/2021,일본,일본,37
블루베리,2/4/2021,칠레,칠레,39
냉동홍고추,2/4/2021,중국,중국,84
냉동홍고추,2/4/2021,중국,중국,45
냉동홍고추,2/4/2021,중국,중국,22
냉동홍고추,2/4/2021,중국,중국,91
생알땅콩,2/4/2021,중국,중국,89
냉동 홍고추,2/4/2021,중국,중국,23
백목이 버섯,2/4/2021,중국,중국,19
망고,2/4/2021,태국,태국,25
망고,2/4/2021,페루,페루,5
망고,2/4/2021,태국,태국,21
망고,2/4/2021,페루,페루,93
망고,2/4/2021,페루,페루,17
망고,2/4/2021,페루,페루,62
망고,2/4/2021,페루,페루,76
네이비 빈,2/4/2021,미국,캐나다,93
커피원두,2/4/2021,온두라스,온두라스,79
망고,2/4/2021,페루,페루,67
커피원두,2/4/2021,브라질,브라질,1
신선표고,2/4/2021,중국,중국,99
신선깐도라지,2/4/2021,중국,중국,15
깐도라지,2/4/2021,중국,중국,90
깐도라지,2/4/2021,중국,중국,17
건양파,2/4/2021,중국,중국,42
냉동양배추,2/4/2021,중국,중국,12
냉동당근,2/4/2021,중국,중국,74
냉동대파,2/4/2021,중국,중국,33
건고추,2/4/2021,중국,중국,79
냉동마늘,2/4/2021,중국,중국,60
냉동연근,2/4/2021,중국,중국,40
냉동호박,2/4/2021,중국,중국,14
냉동토란줄기,2/4/2021,베트남,베트남,66
냉동양파,2/4/2021,중국,중국,51
냉동연근,2/4/2021,중국,중국,94
더덕,2/4/2021,중국,중국,54
계피/15KG,2/4/2021,베트남,베트남,24
냉동부추,2/4/2021,중국,중국,49
냉동 청피망 10MM,2/4/2021,중국,중국,10
냉동딸기,2/4/2021,중국,중국,24
냉동 양파 10MM,2/4/2021,중국,중국,33
냉동 새송이버섯 10MM,2/4/2021,중국,중국,24
냉동대파,2/4/2021,중국,중국,89
냉동양파,2/4/2021,중국,중국,87
냉동 아욱,2/4/2021,중국,중국,73
냉동단호박,2/4/2021,베트남,베트남,42
냉동 시금치,2/4/2021,중국,중국,38
냉동당근,2/4/2021,중국,중국,73
냉동마늘,2/4/2021,중국,중국,53
해바라기씨,2/4/2021,불가리아,불가리아,39
냉동 대파,2/4/2021,중국,중국,23
냉동연근,2/4/2021,베트남,베트남,77
아몬드,2/4/2021,미국,미국,86
호두(탈각),2/4/2021,미국,미국,45
아몬드,2/4/2021,미국,미국,23
건조무화과(2kgx6봉),2/4/2021,터키,터키,99
냉동카사바,2/4/2021,베트남,베트남,77
캐슈넛,2/4/2021,베트남,베트남,21
냉동청경채,2/4/2021,중국,중국,97
냉동 얼갈이,2/4/2021,중국,중국,68
맥아,2/4/2021,벨기에,벨기에,10
맥아,2/4/2021,벨기에,벨기에,18
호두,2/4/2021,미국,미국,80
냉동부추,2/4/2021,중국,중국,79
건파,2/4/2021,중국,중국,32
냉동완두콩,2/4/2021,중국,중국,56
신선양파,2/4/2021,중국,중국,82
아스파라거스,2/4/2021,태국,태국,59
아스파라거스,2/4/2021,태국,태국,72
세이지,2/4/2021,이스라엘,이스라엘,19
망고,2/4/2021,베트남,베트남,26
건여주,2/4/2021,베트남,베트남,2
신선표고버섯,2/4/2021,중국,중국,10
깐도라지,2/4/2021,중국,중국,39
신선 표고버섯,2/4/2021,중국,중국,24
망고,2/4/2021,페루,페루,44
커피생두,2/4/2021,과테말라,과테말라,92
양배추,2/4/2021,중국,중국,44
냉동 깐밤,2/4/2021,중국,중국,29
신선파파야,2/4/2021,필리핀,필리핀,80
콩나물,2/4/2021,중국,중국,62
절계피,2/4/2021,베트남,베트남,33
검은깨,2/4/2021,중국,중국,52
신선도라지,2/4/2021,중국,중국,94
신선당근,2/4/2021,중국,중국,33
리마콩,2/4/2021,미얀마,미얀마,65
리마콩,2/4/2021,미얀마,미얀마,32
건고사리,2/4/2021,중국,중국,42
신선 표고버섯,2/4/2021,중국,중국,58
커피원두,2/3/2021,브라질,브라질,60
"망고(열매,신선)",2/3/2021,태국,태국,41
망고,2/3/2021,태국,태국,6
망고,2/3/2021,태국,태국,6
망고,2/3/2021,태국,태국,32
산양삼,2/3/2021,중국,중국,60
신선밤,2/3/2021,중국,중국,79
망고,2/3/2021,태국,태국,18
우엉,2/3/2021,중국,중국,29
망고,2/3/2021,페루,페루,93
망고,2/3/2021,태국,태국,95
귀리,2/3/2021,캐나다,캐나다,97
깐우엉,2/3/2021,중국,중국,48
망고,2/3/2021,태국,태국,36
깐잣,2/3/2021,중국,중국,87
망고,2/3/2021,태국,태국,51
커피원두,2/3/2021,브라질,브라질,79
신선양파,2/3/2021,중국,중국,2
우엉,2/3/2021,중국,중국,22
포도,2/3/2021,페루,페루,93
망고,2/3/2021,페루,페루,45
후추,2/3/2021,베트남,베트남,20
포도,2/3/2021,페루,페루,84
포도,2/3/2021,페루,페루,42
깐우엉,2/3/2021,중국,중국,41
레몬,2/3/2021,미국,미국,94
맥주보리,2/3/2021,호주,호주,52
신선깐마늘,2/3/2021,중국,중국,56
녹두,2/3/2021,중국,중국,62
깐잣,2/3/2021,중국,중국,10
신선대파,2/3/2021,중국,중국,96
대파,2/3/2021,중국,중국,24
깐잣,2/3/2021,중국,중국,28
깐잣,2/3/2021,중국,중국,24
깐잣,2/3/2021,중국,중국,68
양상추,2/3/2021,대만,대만,8
양상추,2/3/2021,대만,대만,32
깐잣,2/3/2021,중국,중국,22
포도,2/3/2021,페루,페루,89
양상추,2/3/2021,중국,중국,57
강낭콩,2/3/2021,중국,중국,96
포도,2/3/2021,페루,페루,52
깐잣,2/3/2021,중국,중국,21
깐잣,2/3/2021,중국,중국,12
완두콩,2/3/2021,미국,미국,32
완두콩,2/3/2021,미국,미국,58
신선우엉,2/3/2021,중국,중국,20
커피생두,2/3/2021,브라질,브라질,54
신선우엉,2/3/2021,중국,중국,19
신선우엉,2/3/2021,중국,중국,45
선선깐양파,2/3/2021,중국,중국,72
신선마늘쫑,2/3/2021,중국,중국,49
브로콜리,2/3/2021,중국,중국,34
신선브로콜리,2/3/2021,중국,중국,24
신선브로콜리,2/3/2021,중국,중국,23
"황기(뿌리,건조)",2/3/2021,중국,중국,62
"바나나(13KG,2021.01.13)",2/3/2021,베트남,베트남,88
커피생두,2/3/2021,과테말라,과테말라,96
레몬,2/3/2021,미국,미국,45
옥수수,2/3/2021,호주,호주,24
레몬,2/3/2021,미국,미국,10
포도,2/3/2021,페루,페루,86
망고,2/3/2021,페루,페루,9
신선당근,2/3/2021,중국,중국,54
신선당근,2/3/2021,중국,중국,53
신선당근,2/3/2021,중국,중국,21
신선당근,2/3/2021,중국,중국,24
신선당근,2/3/2021,중국,중국,54
신선양배추,2/3/2021,중국,중국,22
신선깐양파,2/3/2021,중국,중국,65
망고,2/3/2021,베트남,베트남,59
밤,2/3/2021,중국,중국,84
냉동대파,2/3/2021,중국,중국,79
신선생강,2/3/2021,중국,중국,11
유백피/18KG,2/3/2021,중국,중국,64
신선무우,2/3/2021,중국,중국,8
마늘쫑(8KG),2/3/2021,중국,중국,5
신선 마늘종,2/3/2021,중국,중국,50
마늘쫑,2/3/2021,중국,중국,75
망고,2/3/2021,페루,페루,7
포도,2/3/2021,페루,페루,4
망고,2/3/2021,페루,페루,82
망고,2/3/2021,페루,페루,24
망고,2/3/2021,페루,페루,5
망고,2/3/2021,페루,페루,62
망고,2/3/2021,페루,페루,35
신선양파,2/3/2021,중국,중국,61
마늘쫑,2/3/2021,중국,중국,61
포도,2/3/2021,페루,페루,72
포도,2/3/2021,페루,페루,6
양파,2/3/2021,중국,중국,86
신선양파,2/3/2021,중국,중국,38
신선양파,2/3/2021,중국,중국,21
신선양파,2/3/2021,중국,중국,55
신선양파,2/3/2021,중국,중국,68
바나나,2/3/2021,필리핀,필리핀,52
바나나,2/3/2021,필리핀,필리핀,85
신선밤,2/3/2021,중국,중국,11
"호박씨(씨앗,건조)",2/3/2021,중국,중국,66
해바라기씨,2/3/2021,중국,중국,39
신선우엉,2/3/2021,중국,중국,55
애플망고,2/3/2021,페루,페루,56
포도,2/3/2021,페루,페루,75
아보카도,2/3/2021,멕시코,멕시코,68
망고,2/3/2021,페루,페루,40
신선양파,2/3/2021,중국,중국,48
아스파라거스,2/3/2021,페루,페루,89
